OBJECTID,LIEN_WWW
"78",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=2514
"79",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=2840
"80",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=1009
"81",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=4562
"82",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=2439
"83",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5184
"84",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=543
"85",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=4841
"86",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=2839
"87",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3331
"88",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=2882
"89",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5634
"90",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5816
"91",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3447
"92",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=260
"93",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5591
"94",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5593
"95",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5589
"96",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10846
"97",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10803
"98",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10895
"99",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5590
"100",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=1637
"101",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5592
"102",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10869
"103",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6473
